building_id,zone_id,municipality,barangay,use_type,use_sub,sewer_status
36982,R1,Tagbilaran City,Booy,Residential,Other Residential,Excluded
37934,R1,Tagbilaran City,Booy,Residential,Other Residential,Excluded
39273,R1,Tagbilaran City,Cogon,Residential,Other Residential,Excluded
39700,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
40242,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
40271,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
40326,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
40427,R1,Tagbilaran City,Cogon,Residential,Other Residential,Excluded
40462,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
40565,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
40582,R1,Tagbilaran City,Cogon,Residential,Other Residential,Excluded
40943,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
41196,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
41275,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
41436,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
41669,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
41695,R1,Tagbilaran City,Cogon,Residential,Other Residential,Excluded
41789,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
41992,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
42060,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
42192,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
42440,R1,Tagbilaran City,Cogon,Residential,Other Residential,Excluded
42590,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
42676,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
42740,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
42924,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
42981,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
43013,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
43070,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
43184,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
43224,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
43395,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
43542,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
44104,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
44147,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
44157,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
44283,R1,Tagbilaran City,Cogon,Residential,Other Residential,Excluded
44382,R1,Tagbilaran City,Cogon,Residential,Other Residential,Excluded
44423,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
44536,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
44681,R1,Tagbilaran City,Cogon,Commercial Establishments,Other Commercial,Excluded
45306,R1,Tagbilaran City,Cogon,Residential,Other Residential,Excluded
60150,R1,Tagbilaran City,Poblacion II,Residential,Other Residential,Excluded
60165,R1,Tagbilaran City,Poblacion II,Commercial Establishments,Other Commercial,Excluded
60195,R1,Tagbilaran City,Poblacion II,Residential,Other Residential,Excluded
60247,R1,Tagbilaran City,Poblacion II,Residential,Other Residential,Excluded
60301,R1,Tagbilaran City,Poblacion II,Residential,Other Residential,Excluded
60318,R1,Tagbilaran City,Poblacion II,Residential,Other Residential,Excluded
60338,R1,Tagbilaran City,Poblacion II,Residential,Other Residential,Excluded
60358,R1,Tagbilaran City,Poblacion II,Residential,Other Residential,Excluded
60361,R1,Tagbilaran City,Poblacion II,Residential,Other Residential,Excluded
