building_id,zone_id,municipality,barangay,use_type,use_sub,sewer_status
22713,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22719,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22730,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22741,R2,Panglao,Danao,Residential,Other Residential,Served
22743,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22745,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22747,R2,Panglao,Danao,Commercial Establishments,Food & Beverage,Served
22749,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22760,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22761,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22769,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22772,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22773,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22775,R2,Panglao,Danao,Residential,Other Residential,Served
22777,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22790,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22791,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22809,R2,Panglao,Danao,Residential,Other Residential,Served
22812,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22816,R2,Panglao,Danao,Residential,Other Residential,Served
22817,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22828,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22834,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22838,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22842,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22853,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22865,R2,Panglao,Danao,Residential,Other Residential,Served
22869,R2,Panglao,Danao,Residential,Other Residential,Served
22874,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22877,R2,Panglao,Danao,Residential,Other Residential,Served
22882,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22888,R2,Panglao,Danao,Government & Civic Services,Emergency Services - Police,Served
22896,R2,Panglao,Danao,Commercial Establishments,Food & Beverage,Served
22899,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22915,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22927,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22935,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22938,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
22947,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22948,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22958,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22960,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
22968,R2,Panglao,Danao,Residential,Other Residential,Served
23000,R2,Panglao,Danao,Residential,Other Residential,Served
23018,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
23021,R2,Panglao,Danao,Commercial Establishments,Food & Beverage,Served
23055,R2,Panglao,Danao,Residential,Other Residential,Served
23078,R2,Panglao,Danao,Commercial Establishments,Food & Beverage,Served
23090,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
23091,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
23099,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
23103,R2,Panglao,Danao,Residential,Other Residential,Served
23116,R2,Panglao,Danao,Residential,Other Residential,Served
23134,R2,Panglao,Danao,Religious Places,Place of Worship,Served
23136,R2,Panglao,Danao,Residential,Other Residential,Served
23166,R2,Panglao,Danao,Commercial Establishments,Other Commercial,Served
23177,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
23181,R2,Panglao,Danao,Commercial Establishments,Hospitality & Accommodation,Served
