building_id,zone_id,municipality,barangay,use_type,use_sub,sewer_status
9870,R3,Dauis,Poblacion,Commercial Establishments,Food & Beverage,Excluded
9930,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
9989,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10000,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10002,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10077,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10196,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10242,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10270,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10286,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10297,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10324,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10403,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10404,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10427,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10436,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10480,R3,Dauis,Poblacion,Commercial Establishments,Food & Beverage,Excluded
10493,R3,Dauis,Poblacion,Commercial Establishments,Other Commercial,Excluded
10500,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10522,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10526,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10546,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10550,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10563,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10603,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10631,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10678,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10689,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10717,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10730,R3,Dauis,Poblacion,Commercial Establishments,Food & Beverage,Excluded
10734,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10736,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10739,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
10747,R3,Dauis,Poblacion,Government & Civic Services,Emergency Services - Police,Excluded
10755,R3,Dauis,Poblacion,Residential,Other Residential,Excluded
9872,R3,Dauis,Poblacion,Residential,Other Residential,Served
9873,R3,Dauis,Poblacion,Residential,Other Residential,Served
9875,R3,Dauis,Poblacion,Residential,Other Residential,Served
9879,R3,Dauis,Poblacion,Residential,Other Residential,Served
9882,R3,Dauis,Poblacion,Residential,Other Residential,Served
9883,R3,Dauis,Poblacion,Religious Places,Place of Worship,Served
9884,R3,Dauis,Poblacion,Residential,Other Residential,Served
9885,R3,Dauis,Poblacion,Residential,Other Residential,Served
9886,R3,Dauis,Poblacion,Residential,Other Residential,Served
9888,R3,Dauis,Poblacion,Residential,Other Residential,Served
9890,R3,Dauis,Poblacion,Residential,Other Residential,Served
9892,R3,Dauis,Poblacion,Residential,Other Residential,Served
9894,R3,Dauis,Poblacion,Residential,Other Residential,Served
9895,R3,Dauis,Poblacion,Commercial Establishments,Hospitality & Accommodation,Served
9896,R3,Dauis,Poblacion,Residential,Other Residential,Served
9904,R3,Dauis,Poblacion,Residential,Other Residential,Served
9905,R3,Dauis,Poblacion,Residential,Other Residential,Served
9909,R3,Dauis,Poblacion,Residential,Other Residential,Served
9910,R3,Dauis,Poblacion,Residential,Other Residential,Served
9911,R3,Dauis,Poblacion,Residential,Other Residential,Served
9917,R3,Dauis,Poblacion,Residential,Other Residential,Served
9918,R3,Dauis,Poblacion,Residential,Other Residential,Served
9919,R3,Dauis,Poblacion,Residential,Other Residential,Served
9923,R3,Dauis,Poblacion,Residential,Other Residential,Served
9924,R3,Dauis,Poblacion,Commercial Establishments,Retail & Shopping,Served
9925,R3,Dauis,Poblacion,Residential,Other Residential,Served
9927,R3,Dauis,Poblacion,Residential,Other Residential,Served
9928,R3,Dauis,Poblacion,Residential,Other Residential,Served
9929,R3,Dauis,Poblacion,Commercial Establishments,Other Commercial,Served
9931,R3,Dauis,Poblacion,Residential,Other Residential,Served
9932,R3,Dauis,Poblacion,Residential,Other Residential,Served
9933,R3,Dauis,Poblacion,Residential,Other Residential,Served
9934,R3,Dauis,Poblacion,Residential,Other Residential,Served
9935,R3,Dauis,Poblacion,Residential,Other Residential,Served
9937,R3,Dauis,Poblacion,Commercial Establishments,Food & Beverage,Served
9938,R3,Dauis,Poblacion,Residential,Other Residential,Served
9939,R3,Dauis,Poblacion,Residential,Other Residential,Served
9942,R3,Dauis,Poblacion,Residential,Other Residential,Served
9943,R3,Dauis,Poblacion,Residential,Other Residential,Served
9951,R3,Dauis,Poblacion,Residential,Other Residential,Served
9955,R3,Dauis,Poblacion,Residential,Other Residential,Served
9957,R3,Dauis,Poblacion,Residential,Other Residential,Served
9958,R3,Dauis,Poblacion,Residential,Other Residential,Served
9961,R3,Dauis,Poblacion,Residential,Other Residential,Served
9964,R3,Dauis,Poblacion,Residential,Other Residential,Served
9966,R3,Dauis,Poblacion,Residential,Other Residential,Served
9967,R3,Dauis,Poblacion,Residential,Other Residential,Served
9969,R3,Dauis,Poblacion,Residential,Other Residential,Served
9970,R3,Dauis,Poblacion,Residential,Other Residential,Served
9971,R3,Dauis,Poblacion,Residential,Other Residential,Served
9973,R3,Dauis,Poblacion,Residential,Other Residential,Served
9979,R3,Dauis,Poblacion,Residential,Other Residential,Served
9981,R3,Dauis,Poblacion,Residential,Other Residential,Served
9982,R3,Dauis,Poblacion,Residential,Other Residential,Served
9983,R3,Dauis,Poblacion,Residential,Other Residential,Served
9986,R3,Dauis,Poblacion,Residential,Other Residential,Served
9990,R3,Dauis,Poblacion,Residential,Other Residential,Served
9993,R3,Dauis,Poblacion,Residential,Other Residential,Served
9994,R3,Dauis,Poblacion,Residential,Other Residential,Served
10001,R3,Dauis,Poblacion,Residential,Other Residential,Served
10003,R3,Dauis,Poblacion,Residential,Other Residential,Served
10004,R3,Dauis,Poblacion,Residential,Other Residential,Served
10008,R3,Dauis,Poblacion,Government & Civic Services,Government Administrative Offices,Served
10009,R3,Dauis,Poblacion,Commercial Establishments,Hospitality & Accommodation,Served
10012,R3,Dauis,Poblacion,Residential,Other Residential,Served
10014,R3,Dauis,Poblacion,Residential,Other Residential,Served
10015,R3,Dauis,Poblacion,Residential,Other Residential,Served
10016,R3,Dauis,Poblacion,Residential,Other Residential,Served
10021,R3,Dauis,Poblacion,Residential,Other Residential,Served
10022,R3,Dauis,Poblacion,Residential,Other Residential,Served
10024,R3,Dauis,Poblacion,Residential,Other Residential,Served
