building_id,bldg_name,use_type,use_sub,barangay,brgy_id,municipality,height_m,floors,area_sqm,cen_x,cen_y,ground_elev_m,dist_to_stp_m,required_depth_at_stp_m,sewer_feasibility,exclusion_reason,alternative_service
36982,,Residential,Other Residential,Booy,24.0,Tagbilaran City,3.5,1,20.98,593996.61,1068565.23,2.76,903.8,6.5,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
37934,,Residential,Other Residential,Booy,24.0,Tagbilaran City,3.5,1,121.93,593985.21,1068558.33,3.19,894.4,6.02,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
42981,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,68.9,593260.08,1066751.43,-0.79,1070.7,10.99,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
42676,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,53.33,593259.53,1066756.31,-0.81,1066.7,10.98,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
42924,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,48.53,593259.72,1066762.39,-0.79,1061.3,10.93,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
41669,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,6.17,2,111.84,593271.05,1066746.53,-0.66,1069.8,10.85,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
42740,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,5.33,2,29.27,593264.92,1066767.85,-0.75,1054.0,10.85,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
43070,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,3.5,1,141.36,593255.86,1066773.49,-0.69,1053.6,10.79,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
40943,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,5.33,2,56.19,593267.2,1066773.4,-0.71,1048.1,10.78,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
42590,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,6.35,2,62.16,593269.15,1066763.45,-0.64,1055.8,10.75,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
43184,,Commercial Establishments,Other Commercial,Cogon,26.0,Tagbilaran City,6.35,2,49.68,593270.36,1066758.01,-0.61,1060.0,10.75,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
